board,moves
"[[0, 0, 0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, -5, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 0, 0], [0, 0, -1, -3, 0, 0, 0, 0], [-1, 0, 0, 4, 0, 0, 0, 5], [0, -1, 0, 0, 0, -1, 0, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",e3d4
"[[0, 0, 0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, -5, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 0, 0], [0, 0, -1, 4, 0, 0, 0, 0], [-1, 0, 0, 0, 0, 0, 0, 5], [0, -1, 0, 0, 0, -1, 0, 0], [0, 0, -4, 0, -4, 0, -6, 0]]",d3d4
"[[0, 0, 0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, -5, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 0, 0], [0, 0, -1, 4, 0, 0, 0, 0], [-1, 0, -4, 0, 0, 0, 0, 5], [0, -1, 0, 0, 0, -1, 0, 0], [0, 0, 0, 0, -4, 0, -6, 0]]",c1c3
"[[0, 0, 0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, -5, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 0, 0], [0, 0, -1, 0, 0, 0, 4, 0], [-1, 0, -4, 0, 0, 0, 0, 5], [0, -1, 0, 0, 0, -1, 0, 0], [0, 0, 0, 0, -4, 0, -6, 0]]",d4g4
"[[0, 0, 0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, -5, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 0, 0], [0, 0, -1, 0, 0, 0, 4, 0], [-1, 0, 0, 0, 0, 0, -4, 5], [0, -1, 0, 0, 0, -1, 0, 0], [0, 0, 0, 0, -4, 0, -6, 0]]",c3g3
"[[0, 0, 0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, -5, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [-1, 0, 0, 0, 0, 0, 4, 5], [0, -1, 0, 0, 0, -1, 0, 0], [0, 0, 0, 0, -4, 0, -6, 0]]",g4g3
"[[0, 0, 0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, -5, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [-1, 0, 0, 0, 0, 0, -1, 5], [0, -1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -4, 0, -6, 0]]",f2g3
"[[0, 0, 0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, -5, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [-1, 0, 0, 0, 0, 0, 5, 0], [0, -1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -4, 0, -6, 0]]",h3g3
"[[0, 0, 0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, -5, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [-1, 0, 0, 0, 0, 0, 5, 0], [0, -1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -4, -6, 0, 0]]",g1f1
"[[0, 0, 0, 0, 0, 0, 6, 0], [0, 0, 0, 0, 0, 1, 1, 0], [0, 0, -5, 0, 1, 0, 0, 1], [0, 0, 0, 0, -1, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0, 0], [-1, 0, 0, 5, 0, 0, 0, 0], [0, -1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -4, -6, 0, 0]]",g3d3
